Category: All categories,
,
Region,skin lightening: (1/1/04 - 7/8/19)
Maryland,100
New York,98
Georgia,89
Florida,85
New Jersey,82
Hawaii,81
California,76
Texas,75
Nevada,74
District of Columbia,74
Mississippi,71
Louisiana,71
Alabama,65
South Carolina,65
Arizona,63
Virginia,63
Connecticut,63
North Carolina,61
Massachusetts,58
Illinois,57
Tennessee,56
Pennsylvania,54
New Mexico,54
Oklahoma,52
Michigan,50
Washington,48
Kansas,47
Arkansas,47
Minnesota,47
Ohio,45
Colorado,45
Indiana,44
Missouri,40
Kentucky,38
Oregon,36
Utah,35
Nebraska,31
Iowa,31
Wisconsin,29
Delaware,
Rhode Island,
North Dakota,
Alaska,
Idaho,
Vermont,
Maine,
New Hampshire,
South Dakota,
Wyoming,
West Virginia,
Montana,
