Category: All categories

Region,skin bleaching: (1/1/04 - 7/8/19)
New York,100
Maryland,99
Georgia,97
Mississippi,96
District of Columbia,89
Louisiana,88
Florida,87
Nevada,83
Alabama,75
Texas,75
California,75
New Jersey,74
South Carolina,74
North Carolina,69
Delaware,68
Virginia,63
Illinois,62
Arizona,61
Connecticut,60
Tennessee,59
Pennsylvania,59
Arkansas,56
Rhode Island,54
Michigan,54
Massachusetts,54
Missouri,49
Oklahoma,47
Washington,47
Ohio,47
New Mexico,47
Kansas,46
Minnesota,44
Indiana,44
Kentucky,44
Utah,43
Colorado,41
Nebraska,37
Oregon,37
Iowa,34
Wisconsin,32
Hawaii,
North Dakota,
Alaska,
South Dakota,
Wyoming,
West Virginia,
Montana,
Idaho,
Maine,
Vermont,
New Hampshire,
