Category: All categories

Region,skin bleaching: (1/1/13 - 12/31/17)
Georgia,100
New York,96
Maryland,95
Mississippi,85
Florida,83
District of Columbia,79
Louisiana,78
California,76
Delaware,74
Alabama,74
Nevada,73
New Jersey,73
Texas,73
South Carolina,73
Virginia,67
Rhode Island,65
Illinois,62
North Carolina,61
Connecticut,58
Pennsylvania,57
Arizona,57
Tennessee,56
Massachusetts,56
Michigan,54
Arkansas,53
Missouri,51
Oklahoma,51
New Mexico,51
Kansas,50
Ohio,47
Kentucky,46
Minnesota,44
Washington,43
Indiana,42
Colorado,41
Nebraska,39
Iowa,38
Wisconsin,33
Oregon,33
Utah,33
Hawaii,
Alaska,
North Dakota,
Vermont,
Maine,
West Virginia,
South Dakota,
New Hampshire,
Montana,
Wyoming,
Idaho,
