Region,"Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2013-2017","Foreign born persons, percent, 2013-2017","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2013-2017","Median value of owner-occupied housing units, 2013-2017","Median selected monthly owner costs -with a mortgage, 2013-2017","Median selected monthly owner costs -without a mortgage, 2013-2017","Median gross rent, 2013-2017","Building permits, 2018","Households, 2013-2017","Persons per household, 2013-2017","Living in same house 1 year ago, percent of persons age 1 year+, 2013-2017","Language other than English spoken at home, percent of persons age 5 years+, 2013-2017","Households with a computer, percent, 2013-2017","Households with a broadband Internet subscription, percent, 2013-2017","High school graduate or higher, percent of persons age 25 years+, 2013-2017","Bachelor's degree or higher, percent of persons age 25 years+, 2013-2017","With a disability, under age 65 years, percent, 2013-2017","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2013-2017","In civilian labor force, female, percent of population age 16 years+, 2013-2017","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2013-2017","Median household income (in 2017 dollars), 2013-2017","Per capita income in past 12 months (in 2017 dollars), 2013-2017","Persons in poverty, percent","Total employer establishments, 2016","Total employment, 2016","Total annual payroll, 2016 ($1,000)","Total employment, percent change, 2015-2016","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
District.of.Columbia,"702,455","601,766",16.70%,"601,723",6.50%,18.10%,12.10%,52.60%,45.60%,46.40%,0.60%,4.40%,0.10%,2.80%,11.30%,37.10%,"27,695",14.00%,"319,531",41.70%,"$537,400 ","$2,375 ",$666 ,"$1,424 ","4,615","277,985",2.28,80.00%,17.50%,88.20%,77.60%,90.30%,56.60%,8.60%,4.20%,68.90%,66.90%,"5,101,602","8,963,981","309,832","2,591,868","4,439,933","$7,022 ",30,"$77,649 ","$50,832 ",16.60%,"23,177","526,879","39,833,690",2.70%,"61,347","63,408","30,237","27,064","29,983","29,521","5,070","54,217","9,856.50",61.05,"""11"""
Florida,"21,299,325","18,804,580",13.30%,"18,801,310",5.40%,19.90%,20.50%,51.10%,77.30%,16.90%,0.50%,3.00%,0.10%,2.20%,26.10%,53.50%,"1,454,632",20.20%,"9,547,305",64.80%,"$178,700 ","$1,432 ",$475 ,"$1,077 ","144,427","7,510,882",2.64,84.10%,28.70%,88.10%,78.60%,87.60%,28.50%,8.60%,15.90%,58.40%,54.10%,"49,817,925","124,061,425","96,924,106","252,626,608","273,867,145","$14,177 ",27,"$50,883 ","$28,774 ",14.00%,"546,218","8,169,642","363,336,322",5.00%,"2,245,127","2,100,187","1,084,885","807,817","926,112","1,121,749","185,756","1,846,686",350.6,"53,624.76","""12"""
Nevada,"3,034,392","2,700,679",12.40%,"2,700,551",6.10%,22.70%,15.70%,49.90%,74.30%,10.10%,1.70%,8.70%,0.80%,4.50%,29.00%,48.70%,"210,461",19.50%,"1,268,633",55.40%,"$216,400 ","$1,422 ",$411 ,"$1,017 ","17,645","1,052,249",2.71,80.60%,30.50%,89.70%,79.30%,85.80%,23.70%,9.10%,13.00%,63.60%,58.80%,"27,481,505","13,928,514","14,719,141","19,841,701","38,234,170","$13,858 ",24,"$55,434 ","$28,450 ",13.00%,"64,815","1,165,298","49,207,817",3.10%,"233,007","227,156","114,057","82,508","71,864","144,944","23,049","191,293",24.6,"109,781.18","""32"""
New.Jersey,"8,908,520","8,791,962",1.30%,"8,791,894",5.80%,21.90%,16.10%,51.10%,72.00%,15.00%,0.60%,10.00%,0.10%,2.30%,20.60%,54.90%,"351,542",22.10%,"3,628,302",64.10%,"$321,100 ","$2,398 ","$1,005 ","$1,249 ","27,942","3,199,111",2.74,90.00%,31.00%,88.90%,82.50%,89.20%,38.10%,6.70%,9.00%,65.50%,60.20%,"19,673,558","60,375,232","108,854,971","288,467,844","133,665,728","$15,079 ",31.5,"$76,475 ","$39,069 ",10.00%,"231,974","3,636,293","214,757,817",2.20%,"716,918","792,088","464,592","252,944","237,242","533,808","57,996","707,975","1,195.50","7,354.22","""34"""
New.York,"19,542,209","19,378,124",0.80%,"19,378,102",5.80%,20.80%,16.40%,51.40%,69.70%,17.60%,1.00%,9.00%,0.10%,2.60%,19.20%,55.40%,"757,900",22.70%,"8,363,934",54.00%,"$293,000 ","$2,064 ",$728 ,"$1,194 ","37,778","7,302,710",2.63,89.40%,30.60%,86.80%,78.90%,86.10%,35.30%,7.50%,6.60%,63.10%,58.60%,"49,285,508","155,666,053","148,879,931","341,734,970","251,167,736","$12,834 ",33,"$62,765 ","$35,752 ",14.10%,"544,073","8,178,455","521,872,694",2.20%,"1,751,378","2,008,988","1,139,910","725,709","709,021","1,248,304","137,532","1,811,544",411.2,"47,126.40","""36"""
Colorado,"5,695,564","5,029,316",13.20%,"5,029,196",5.90%,22.20%,14.20%,49.60%,87.10%,4.60%,1.60%,3.50%,0.20%,3.10%,21.70%,67.90%,"376,336",9.80%,"2,424,051",64.70%,"$286,100 ","$1,623 ",$442 ,"$1,125 ","42,627","2,082,531",2.55,81.30%,16.90%,91.90%,83.80%,91.10%,39.40%,7.30%,8.60%,67.40%,62.40%,"13,617,654","29,488,161","50,447,098","77,034,971","67,815,200","$13,073 ",25.2,"$65,458 ","$34,845 ",10.30%,"165,264","2,318,190","120,398,734",2.90%,"517,350","547,352","284,554","194,508","85,849","442,365","51,722","469,524",48.5,"103,641.89","""08"""
California,"39,557,045","37,254,523",6.20%,"37,253,956",6.20%,22.70%,14.30%,50.30%,72.10%,6.50%,1.60%,15.30%,0.50%,3.90%,39.30%,36.80%,"1,661,433",27.00%,"14,277,157",54.50%,"$443,400 ","$2,206 ",$542 ,"$1,358 ","113,502","12,888,128",2.96,86.20%,44.00%,90.20%,82.60%,82.50%,32.60%,6.90%,8.10%,63.00%,57.10%,"90,830,372","248,953,592","512,303,164","666,652,186","481,800,461","$12,665 ",28.8,"$67,169 ","$33,128 ",13.30%,"922,477","14,600,349","886,643,923",1.90%,"3,374,050","3,548,449","1,852,580","1,320,085","1,619,857","1,819,107","252,377","3,176,341",239.1,"155,779.22","""06"""
Arkansas,"3,013,825","2,916,028",3.40%,"2,915,918",6.30%,23.30%,17.00%,50.90%,79.10%,15.70%,1.00%,1.70%,0.40%,2.20%,7.70%,72.20%,"206,796",4.70%,"1,380,504",65.60%,"$118,500 ","$1,039 ",$336 ,$709 ,"10,179","1,147,291",2.52,84.20%,7.20%,81.90%,66.70%,85.60%,22.00%,12.50%,9.30%,57.90%,53.10%,"4,307,264","15,792,628","62,712,925","31,256,110","36,815,256","$12,483 ",21.6,"$43,813 ","$24,426 ",16.40%,"65,611","1,023,854","40,969,051",2.10%,"205,915","231,959","123,158","75,962","35,982","189,029","25,915","192,988",56,"52,035.48","""05"""
Arizona,"7,171,646","6,392,288",12.20%,"6,392,017",6.10%,22.90%,17.50%,50.30%,82.80%,5.10%,5.30%,3.70%,0.30%,2.90%,31.60%,54.40%,"486,760",13.40%,"3,035,669",63.10%,"$193,200 ","$1,354 ",$394 ,$972 ,"41,664","2,482,311",2.68,81.90%,27.00%,88.20%,79.40%,86.50%,28.40%,8.50%,12.00%,59.20%,54.30%,"13,996,635","37,055,881","51,243,473","69,437,272","84,716,542","$12,927 ",25.1,"$53,510 ","$27,964 ",14.90%,"139,134","2,379,409","106,431,260",3.70%,"485,984","499,926","245,243","182,425","135,313","344,981","46,780","427,582",56.3,"113,594.08","""04"""
Alaska,"737,438","710,249",3.80%,"710,231",7.20%,24.90%,11.80%,47.90%,65.30%,3.80%,15.40%,6.60%,1.40%,7.40%,7.20%,60.30%,"67,004",7.60%,"318,336",63.70%,"$261,900 ","$1,862 ",$571 ,"$1,200 ","1,677","252,536",2.81,81.20%,16.00%,92.40%,82.90%,92.40%,29.00%,8.50%,15.30%,67.10%,64.50%,"2,221,335","6,375,483",D,"5,216,303","10,474,275","$14,320 ",18.8,"$76,114 ","$35,065 ",11.10%,"21,077","266,072","15,239,195",-0.70%,"56,796","68,032","35,402","22,141","13,688","51,147","7,953","56,091",1.2,"570,640.95","""02"""
