"","Region","skin.bleaching","Year"
"1","Delaware",100,2006
"2","Mississippi",88,2006
"3","Oklahoma",58,2006
"4","Arkansas",49,2006
"5","Rhode Island",46,2006
"6","Nebraska",39,2006
"7","Louisiana",36,2006
"8","Oregon",36,2006
"9","Alabama",36,2006
"10","Maryland",34,2006
"11","Nevada",33,2006
"12","Iowa",31,2006
"13","District of Columbia",30,2006
"14","Virginia",30,2006
"15","Georgia",28,2006
"16","Texas",28,2006
"17","South Carolina",26,2006
"18","Utah",26,2006
"19","Kentucky",25,2006
"20","Tennessee",24,2006
"21","California",23,2006
"22","Colorado",23,2006
"23","New Jersey",22,2006
"24","Illinois",22,2006
"25","New York",21,2006
"26","North Carolina",20,2006
"27","Florida",18,2006
"28","Pennsylvania",18,2006
"29","Indiana",17,2006
"30","Washington",17,2006
"31","Ohio",17,2006
"32","Connecticut",16,2006
"33","Michigan",16,2006
"34","Minnesota",15,2006
"35","Massachusetts",15,2006
"36","Arizona",14,2006
"37","Wisconsin",12,2006
"38","Missouri",11,2006
"39","North Dakota",NA,2006
"40","South Dakota",NA,2006
"41","New Hampshire",NA,2006
"42","Hawaii",NA,2006
"43","Alaska",NA,2006
"44","Idaho",NA,2006
"45","Kansas",NA,2006
"46","Maine",NA,2006
"47","Montana",NA,2006
"48","New Mexico",NA,2006
"49","Vermont",NA,2006
"50","West Virginia",NA,2006
"51","Wyoming",NA,2006
"52","Mississippi",100,2004
"53","Kansas",84,2004
"54","Arkansas",81,2004
"55","Louisiana",81,2004
"56","Rhode Island",71,2004
"57","Nevada",61,2004
"58","Virginia",43,2004
"59","Utah",42,2004
"60","Alabama",40,2004
"61","Wisconsin",36,2004
"62","Washington",35,2004
"63","Arizona",35,2004
"64","Tennessee",32,2004
"65","District of Columbia",29,2004
"66","New Jersey",28,2004
"67","Indiana",26,2004
"68","Colorado",26,2004
"69","Texas",26,2004
"70","Connecticut",25,2004
"71","Michigan",24,2004
"72","North Carolina",20,2004
"73","Massachusetts",20,2004
"74","Florida",19,2004
"75","California",18,2004
"76","Missouri",17,2004
"77","Ohio",17,2004
"78","Pennsylvania",17,2004
"79","Maryland",16,2004
"80","Georgia",16,2004
"81","Illinois",14,2004
"82","New York",9,2004
"83","West Virginia",NA,2004
"84","Hawaii",NA,2004
"85","Alaska",NA,2004
"86","Delaware",NA,2004
"87","Iowa",NA,2004
"88","Idaho",NA,2004
"89","Kentucky",NA,2004
"90","Maine",NA,2004
"91","Minnesota",NA,2004
"92","Montana",NA,2004
"93","North Dakota",NA,2004
"94","Nebraska",NA,2004
"95","New Hampshire",NA,2004
"96","New Mexico",NA,2004
"97","Oklahoma",NA,2004
"98","Oregon",NA,2004
"99","South Carolina",NA,2004
"100","South Dakota",NA,2004
"101","Vermont",NA,2004
"102","Wyoming",NA,2004
"103","Mississippi",100,2005
"104","Nevada",89,2005
"105","Arkansas",79,2005
"106","New Mexico",77,2005
"107","Utah",59,2005
"108","Alabama",58,2005
"109","Kentucky",53,2005
"110","Virginia",46,2005
"111","Iowa",43,2005
"112","Oklahoma",43,2005
"113","Louisiana",41,2005
"114","South Carolina",39,2005
"115","Michigan",38,2005
"116","Kansas",38,2005
"117","District of Columbia",37,2005
"118","Indiana",37,2005
"119","Connecticut",36,2005
"120","Oregon",35,2005
"121","Florida",35,2005
"122","Texas",35,2005
"123","Washington",34,2005
"124","New York",30,2005
"125","Georgia",30,2005
"126","Pennsylvania",26,2005
"127","Massachusetts",26,2005
"128","California",25,2005
"129","Tennessee",23,2005
"130","Wisconsin",23,2005
"131","New Jersey",23,2005
"132","Colorado",22,2005
"133","Arizona",22,2005
"134","Maryland",21,2005
"135","Ohio",20,2005
"136","Illinois",18,2005
"137","Missouri",16,2005
"138","North Carolina",13,2005
"139","Alaska",NA,2005
"140","Delaware",NA,2005
"141","Hawaii",NA,2005
"142","Idaho",NA,2005
"143","Maine",NA,2005
"144","Minnesota",NA,2005
"145","Montana",NA,2005
"146","North Dakota",NA,2005
"147","Nebraska",NA,2005
"148","New Hampshire",NA,2005
"149","Rhode Island",NA,2005
"150","South Dakota",NA,2005
"151","Vermont",NA,2005
"152","West Virginia",NA,2005
"153","Wyoming",NA,2005
"154","Rhode Island",100,2007
"155","Nevada",96,2007
"156","Mississippi",91,2007
"157","Nebraska",82,2007
"158","Florida",55,2007
"159","New Mexico",52,2007
"160","Louisiana",51,2007
"161","California",50,2007
"162","North Carolina",49,2007
"163","Georgia",43,2007
"164","New York",40,2007
"165","Kentucky",38,2007
"166","South Carolina",37,2007
"167","Indiana",35,2007
"168","District of Columbia",34,2007
"169","New Jersey",33,2007
"170","Texas",32,2007
"171","Illinois",32,2007
"172","Connecticut",31,2007
"173","Virginia",30,2007
"174","Oregon",29,2007
"175","Maryland",29,2007
"176","Oklahoma",28,2007
"177","Kansas",28,2007
"178","Minnesota",27,2007
"179","Colorado",27,2007
"180","Missouri",26,2007
"181","Pennsylvania",26,2007
"182","Alabama",26,2007
"183","Arizona",26,2007
"184","Massachusetts",26,2007
"185","Ohio",23,2007
"186","Washington",23,2007
"187","Michigan",21,2007
"188","Tennessee",16,2007
"189","Wisconsin",13,2007
"190","Wyoming",NA,2007
"191","West Virginia",NA,2007
"192","South Dakota",NA,2007
"193","Alaska",NA,2007
"194","Hawaii",NA,2007
"195","Arkansas",NA,2007
"196","Delaware",NA,2007
"197","Iowa",NA,2007
"198","Idaho",NA,2007
"199","Maine",NA,2007
"200","Montana",NA,2007
"201","North Dakota",NA,2007
"202","New Hampshire",NA,2007
"203","Utah",NA,2007
"204","Vermont",NA,2007
"205","District of Columbia",100,2008
"206","Tennessee",85,2008
"207","Florida",81,2008
"208","Texas",77,2008
"209","Arkansas",75,2008
"210","Maryland",74,2008
"211","Connecticut",71,2008
"212","Nebraska",71,2008
"213","South Carolina",69,2008
"214","New York",68,2008
"215","New Mexico",64,2008
"216","Utah",61,2008
"217","Alabama",58,2008
"218","Rhode Island",58,2008
"219","California",56,2008
"220","Mississippi",54,2008
"221","North Carolina",54,2008
"222","Nevada",51,2008
"223","Wisconsin",51,2008
"224","Georgia",47,2008
"225","Washington",46,2008
"226","Massachusetts",45,2008
"227","New Jersey",45,2008
"228","Illinois",44,2008
"229","Pennsylvania",41,2008
"230","Arizona",41,2008
"231","Kentucky",41,2008
"232","Colorado",39,2008
"233","Virginia",39,2008
"234","Iowa",38,2008
"235","Michigan",35,2008
"236","Missouri",33,2008
"237","Oklahoma",31,2008
"238","Indiana",31,2008
"239","Ohio",31,2008
"240","Louisiana",27,2008
"241","Minnesota",18,2008
"242","Hawaii",NA,2008
"243","Idaho",NA,2008
"244","West Virginia",NA,2008
"245","Alaska",NA,2008
"246","Delaware",NA,2008
"247","Kansas",NA,2008
"248","Maine",NA,2008
"249","Montana",NA,2008
"250","North Dakota",NA,2008
"251","New Hampshire",NA,2008
"252","Oregon",NA,2008
"253","South Dakota",NA,2008
"254","Vermont",NA,2008
"255","Wyoming",NA,2008
"256","Alabama",100,2009
"257","Florida",66,2009
"258","Rhode Island",65,2009
"259","New York",59,2009
"260","Delaware",59,2009
"261","Nevada",57,2009
"262","New Jersey",54,2009
"263","Louisiana",52,2009
"264","District of Columbia",52,2009
"265","Tennessee",50,2009
"266","Connecticut",49,2009
"267","Maryland",48,2009
"268","South Carolina",47,2009
"269","Texas",46,2009
"270","Indiana",45,2009
"271","North Carolina",44,2009
"272","Georgia",43,2009
"273","New Mexico",42,2009
"274","Arkansas",41,2009
"275","Massachusetts",41,2009
"276","Kentucky",40,2009
"277","Illinois",39,2009
"278","Missouri",39,2009
"279","Arizona",39,2009
"280","Washington",37,2009
"281","Ohio",36,2009
"282","Pennsylvania",36,2009
"283","Minnesota",34,2009
"284","California",34,2009
"285","Wisconsin",32,2009
"286","Virginia",29,2009
"287","Mississippi",29,2009
"288","Michigan",27,2009
"289","Kansas",26,2009
"290","Colorado",25,2009
"291","Utah",22,2009
"292","Oklahoma",21,2009
"293","Nebraska",20,2009
"294","Iowa",18,2009
"295","Oregon",15,2009
"296","West Virginia",NA,2009
"297","Hawaii",NA,2009
"298","Wyoming",NA,2009
"299","Maine",NA,2009
"300","South Dakota",NA,2009
"301","Alaska",NA,2009
"302","Idaho",NA,2009
"303","New Hampshire",NA,2009
"304","Montana",NA,2009
"305","North Dakota",NA,2009
"306","Vermont",NA,2009
"307","Delaware",100,2010
"308","Louisiana",99,2010
"309","Rhode Island",95,2010
"310","Mississippi",83,2010
"311","Florida",75,2010
"312","Nevada",73,2010
"313","New Jersey",59,2010
"314","Texas",57,2010
"315","Georgia",57,2010
"316","Maryland",56,2010
"317","New York",54,2010
"318","North Carolina",54,2010
"319","Tennessee",52,2010
"320","New Mexico",50,2010
"321","Connecticut",50,2010
"322","District of Columbia",47,2010
"323","Oregon",47,2010
"324","Nebraska",46,2010
