Category: All categories

Month,skin bleaching: (District of Columbia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,72
2004-12,0
2005-01,0
2005-02,0
2005-03,100
2005-04,0
2005-05,0
2005-06,0
2005-07,49
2005-08,0
2005-09,46
2005-10,0
2005-11,0
2005-12,42
2006-01,0
2006-02,0
2006-03,0
2006-04,36
2006-05,0
2006-06,0
2006-07,33
2006-08,0
2006-09,31
2006-10,0
2006-11,57
2006-12,0
2007-01,0
2007-02,24
2007-03,22
2007-04,0
2007-05,20
2007-06,0
2007-07,0
2007-08,18
2007-09,18
2007-10,0
2007-11,16
2007-12,16
2008-01,14
2008-02,15
2008-03,14
2008-04,21
2008-05,14
2008-06,15
2008-07,0
2008-08,13
2008-09,13
2008-10,12
2008-11,26
2008-12,13
2009-01,13
2009-02,14
2009-03,12
2009-04,13
2009-05,26
2009-06,26
2009-07,12
2009-08,19
2009-09,12
2009-10,11
2009-11,12
2009-12,11
2010-01,16
2010-02,11
2010-03,10
2010-04,21
2010-05,11
2010-06,22
2010-07,11
2010-08,31
2010-09,20
2010-10,15
2010-11,10
2010-12,0
2011-01,12
2011-02,49
2011-03,32
2011-04,32
2011-05,30
2011-06,20
2011-07,12
2011-08,32
2011-09,17
2011-10,30
2011-11,16
2011-12,36
2012-01,28
2012-02,0
2012-03,21
2012-04,9
2012-05,17
2012-06,21
2012-07,27
2012-08,26
2012-09,13
2012-10,5
2012-11,9
2012-12,13
2013-01,14
2013-02,26
2013-03,31
2013-04,14
2013-05,29
2013-06,34
2013-07,20
2013-08,21
2013-09,29
2013-10,11
2013-11,12
2013-12,14
2014-01,30
2014-02,21
2014-03,22
2014-04,24
2014-05,26
2014-06,32
2014-07,11
2014-08,14
2014-09,22
2014-10,5
2014-11,18
2014-12,11
2015-01,11
2015-02,21
2015-03,23
2015-04,17
2015-05,23
2015-06,6
2015-07,16
2015-08,21
2015-09,10
2015-10,13
2015-11,14
2015-12,7
2016-01,30
2016-02,19
2016-03,15
2016-04,18
2016-05,43
2016-06,16
2016-07,32
2016-08,0
2016-09,31
2016-10,17
2016-11,22
2016-12,33
2017-01,9
2017-02,23
2017-03,18
2017-04,21
2017-05,9
2017-06,10
2017-07,14
2017-08,18
2017-09,6
2017-10,15
2017-11,24
2017-12,18
2018-01,16
2018-02,31
2018-03,14
2018-04,28
2018-05,28
2018-06,29
2018-07,15
2018-08,15
2018-09,15
2018-10,47
2018-11,50
2018-12,23
2019-01,28
2019-02,21
2019-03,27
2019-04,14
2019-05,14
2019-06,15
2019-07,37
2019-08,0
