Category: All categories

Month,skin bleaching: (District of Columbia)
2004-01,82
2004-02,0
2004-03,100
2004-04,0
2004-05,0
2004-06,67
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,72
2004-12,64
2005-01,0
2005-02,0
2005-03,51
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,48
2005-09,0
2005-10,43
2005-11,0
2005-12,42
2006-01,0
2006-02,0
2006-03,0
2006-04,36
2006-05,0
2006-06,0
2006-07,33
2006-08,30
2006-09,31
2006-10,0
2006-11,28
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,22
2007-05,20
2007-06,21
2007-07,19
2007-08,18
2007-09,18
2007-10,0
2007-11,24
2007-12,0
2008-01,28
2008-02,30
2008-03,14
2008-04,14
2008-05,0
2008-06,29
2008-07,32
2008-08,14
2008-09,17
2008-10,12
2008-11,13
2008-12,13
2009-01,20
2009-02,14
2009-03,19
2009-04,13
2009-05,0
2009-06,26
2009-07,33
2009-08,25
2009-09,18
2009-10,11
2009-11,19
2009-12,12
2010-01,27
2010-02,11
2010-03,10
2010-04,22
2010-05,23
2010-06,34
2010-07,25
2010-08,21
2010-09,15
2010-10,10
2010-11,20
2010-12,0
2011-01,20
2011-02,12
2011-03,11
2011-04,21
2011-05,26
2011-06,22
2011-07,17
2011-08,32
2011-09,13
2011-10,20
2011-11,16
2011-12,17
2012-01,16
2012-02,7
2012-03,18
2012-04,23
2012-05,19
2012-06,25
2012-07,28
2012-08,19
2012-09,22
2012-10,10
2012-11,12
2012-12,17
2013-01,10
2013-02,26
2013-03,30
2013-04,15
2013-05,13
2013-06,15
2013-07,51
2013-08,24
2013-09,19
2013-10,17
2013-11,13
2013-12,21
2014-01,34
2014-02,21
2014-03,15
2014-04,24
2014-05,48
2014-06,24
2014-07,28
2014-08,14
2014-09,10
2014-10,7
2014-11,12
2014-12,11
2015-01,11
2015-02,20
2015-03,15
2015-04,21
2015-05,11
2015-06,15
2015-07,10
2015-08,14
2015-09,8
2015-10,14
2015-11,8
2015-12,19
2016-01,22
2016-02,15
2016-03,16
2016-04,18
2016-05,23
2016-06,18
2016-07,40
2016-08,12
2016-09,21
2016-10,15
2016-11,17
2016-12,22
2017-01,8
2017-02,17
2017-03,16
2017-04,16
2017-05,13
2017-06,19
2017-07,14
2017-08,14
2017-09,0
2017-10,15
2017-11,16
2017-12,18
2018-01,16
2018-02,16
2018-03,27
2018-04,34
2018-05,28
2018-06,34
2018-07,25
2018-08,15
2018-09,20
2018-10,34
2018-11,29
2018-12,16
2019-01,14
2019-02,29
2019-03,14
2019-04,14
2019-05,14
2019-06,30
2019-07,30
2019-08,46
