Category: All categories

Month,skin bleaching: (Maryland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,63
2004-10,0
2004-11,0
2004-12,0
2005-01,53
2005-02,0
2005-03,0
2005-04,0
2005-05,46
2005-06,48
2005-07,96
2005-08,0
2005-09,0
2005-10,0
2005-11,40
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,31
2006-06,100
2006-07,0
2006-08,30
2006-09,29
2006-10,0
2006-11,27
2006-12,27
2007-01,24
2007-02,0
2007-03,23
2007-04,23
2007-05,22
2007-06,23
2007-07,0
2007-08,41
2007-09,21
2007-10,0
2007-11,19
2007-12,20
2008-01,0
2008-02,0
2008-03,18
2008-04,0
2008-05,35
2008-06,0
2008-07,28
2008-08,19
2008-09,18
2008-10,24
2008-11,18
2008-12,35
2009-01,17
2009-02,26
2009-03,16
2009-04,16
2009-05,0
2009-06,40
2009-07,34
2009-08,18
2009-09,33
2009-10,16
2009-11,33
2009-12,0
2010-01,53
2010-02,32
2010-03,28
2010-04,15
2010-05,21
2010-06,0
2010-07,16
2010-08,21
2010-09,24
2010-10,14
2010-11,19
2010-12,0
2011-01,19
2011-02,21
2011-03,29
2011-04,29
2011-05,14
2011-06,24
2011-07,25
2011-08,16
2011-09,11
2011-10,15
2011-11,23
2011-12,21
2012-01,18
2012-02,10
2012-03,15
2012-04,20
2012-05,19
2012-06,25
2012-07,24
2012-08,19
2012-09,23
2012-10,11
2012-11,16
2012-12,15
2013-01,19
2013-02,10
2013-03,25
2013-04,24
2013-05,34
2013-06,24
2013-07,24
2013-08,11
2013-09,27
2013-10,21
2013-11,20
2013-12,14
2014-01,21
2014-02,32
2014-03,27
2014-04,18
2014-05,30
2014-06,21
2014-07,27
2014-08,17
2014-09,21
2014-10,22
2014-11,15
2014-12,33
2015-01,27
2015-02,29
2015-03,25
2015-04,23
2015-05,13
2015-06,18
2015-07,17
2015-08,23
2015-09,6
2015-10,14
2015-11,13
2015-12,11
2016-01,26
2016-02,13
2016-03,20
2016-04,33
2016-05,14
2016-06,14
2016-07,23
2016-08,25
2016-09,18
2016-10,19
2016-11,27
2016-12,26
2017-01,19
2017-02,21
2017-03,22
2017-04,20
2017-05,25
2017-06,18
2017-07,25
2017-08,23
2017-09,14
2017-10,11
2017-11,18
2017-12,14
2018-01,10
2018-02,10
2018-03,22
2018-04,27
2018-05,20
2018-06,13
2018-07,33
2018-08,23
2018-09,12
2018-10,16
2018-11,22
2018-12,14
2019-01,19
2019-02,19
2019-03,41
2019-04,19
2019-05,25
2019-06,27
2019-07,17
2019-08,17
