Category: All categories

Month,skin bleaching: (New Jersey)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,100
2004-07,0
2004-08,0
2004-09,0
2004-10,89
2004-11,91
2004-12,77
2005-01,0
2005-02,73
2005-03,0
2005-04,71
2005-05,62
2005-06,64
2005-07,0
2005-08,0
2005-09,57
2005-10,52
2005-11,0
2005-12,48
2006-01,89
2006-02,94
2006-03,40
2006-04,0
2006-05,41
2006-06,63
2006-07,42
2006-08,78
2006-09,39
2006-10,35
2006-11,34
2006-12,0
2007-01,28
2007-02,0
2007-03,54
2007-04,0
2007-05,37
2007-06,0
2007-07,24
2007-08,23
2007-09,23
2007-10,20
2007-11,20
2007-12,20
2008-01,19
2008-02,29
2008-03,30
2008-04,19
2008-05,19
2008-06,48
2008-07,18
2008-08,19
2008-09,26
2008-10,16
2008-11,53
2008-12,34
2009-01,49
2009-02,18
2009-03,31
2009-04,27
2009-05,32
2009-06,59
2009-07,54
2009-08,24
2009-09,58
2009-10,25
2009-11,35
2009-12,29
2010-01,14
2010-02,21
2010-03,29
2010-04,27
2010-05,28
2010-06,33
2010-07,48
2010-08,13
2010-09,36
2010-10,17
2010-11,13
2010-12,35
2011-01,36
2011-02,27
2011-03,23
2011-04,52
2011-05,20
2011-06,33
2011-07,34
2011-08,25
2011-09,19
2011-10,34
2011-11,16
2011-12,29
2012-01,29
2012-02,38
2012-03,33
2012-04,40
2012-05,43
2012-06,33
2012-07,27
2012-08,35
2012-09,22
2012-10,23
2012-11,18
2012-12,22
2013-01,31
2013-02,26
2013-03,38
2013-04,37
2013-05,65
2013-06,50
2013-07,46
2013-08,40
2013-09,35
2013-10,28
2013-11,26
2013-12,26
2014-01,34
2014-02,36
2014-03,44
2014-04,42
2014-05,44
2014-06,33
2014-07,26
2014-08,44
2014-09,16
2014-10,22
2014-11,37
2014-12,28
2015-01,32
2015-02,32
2015-03,43
2015-04,19
2015-05,31
2015-06,31
2015-07,21
2015-08,33
2015-09,20
2015-10,34
2015-11,22
2015-12,26
2016-01,33
2016-02,34
2016-03,44
2016-04,52
2016-05,33
2016-06,47
2016-07,62
2016-08,22
2016-09,32
2016-10,29
2016-11,28
2016-12,36
2017-01,37
2017-02,35
2017-03,40
2017-04,26
2017-05,26
2017-06,34
2017-07,48
2017-08,34
2017-09,28
2017-10,30
2017-11,19
2017-12,16
2018-01,22
2018-02,47
2018-03,27
2018-04,25
2018-05,44
2018-06,20
2018-07,38
2018-08,35
2018-09,33
2018-10,35
2018-11,30
2018-12,31
2019-01,34
2019-02,30
2019-03,48
2019-04,35
2019-05,32
2019-06,32
2019-07,32
2019-08,0
