"","Region","skin.lightening","Year"
"52","Hawaii",100,2004
"53","Nevada",57,2004
"54","Oregon",22,2004
"55","Oklahoma",21,2004
"56","Kansas",20,2004
"57","South Carolina",19,2004
"58","Louisiana",19,2004
"59","District of Columbia",17,2004
"60","Georgia",13,2004
"61","Virginia",13,2004
"62","Michigan",13,2004
"63","Indiana",13,2004
"64","Connecticut",12,2004
"65","Maryland",12,2004
"66","Tennessee",11,2004
"67","Washington",11,2004
"68","California",10,2004
"69","Florida",10,2004
"70","Illinois",10,2004
"71","New York",9,2004
"72","Arizona",8,2004
"73","Colorado",8,2004
"74","Massachusetts",8,2004
"75","Texas",8,2004
"76","Missouri",8,2004
"77","Minnesota",8,2004
"78","New Jersey",7,2004
"79","Pennsylvania",5,2004
"80","Ohio",5,2004
"81","Alaska",0,2004
"82","Alabama",0,2004
"83","Arkansas",0,2004
"84","Delaware",0,2004
"85","Iowa",0,2004
"86","Idaho",0,2004
"87","Kentucky",0,2004
"88","Maine",0,2004
"89","Mississippi",0,2004
"90","Montana",0,2004
"91","North Carolina",0,2004
"92","North Dakota",0,2004
"93","Nebraska",0,2004
"94","New Hampshire",0,2004
"95","New Mexico",0,2004
"96","Rhode Island",0,2004
"97","South Dakota",0,2004
"98","Utah",0,2004
"99","Vermont",0,2004
"100","Wisconsin",0,2004
"101","West Virginia",0,2004
"102","Wyoming",0,2004
"103","Arkansas",100,2005
"104","Hawaii",84,2005
"105","Oklahoma",82,2005
"106","District of Columbia",78,2005
"107","Arizona",72,2005
"108","Nebraska",71,2005
"109","Nevada",68,2005
"110","Tennessee",59,2005
"111","Iowa",55,2005
"112","Louisiana",52,2005
"113","South Carolina",50,2005
"114","North Carolina",50,2005
"115","Kansas",48,2005
"116","Missouri",46,2005
"117","Michigan",43,2005
"118","New Jersey",41,2005
"119","Connecticut",40,2005
"120","Maryland",39,2005
"121","California",34,2005
"122","Florida",32,2005
"123","Georgia",30,2005
"124","Washington",30,2005
"125","New York",27,2005
"126","Virginia",27,2005
"127","Massachusetts",26,2005
"128","Wisconsin",22,2005
"129","Colorado",21,2005
"130","Ohio",20,2005
"131","Texas",18,2005
"132","Illinois",17,2005
"133","Pennsylvania",10,2005
"134","Montana",0,2005
"135","Vermont",0,2005
"136","Maine",0,2005
"137","New Hampshire",0,2005
"138","Alaska",0,2005
"139","Alabama",0,2005
"140","Delaware",0,2005
"141","Idaho",0,2005
"142","Indiana",0,2005
"143","Kentucky",0,2005
"144","Minnesota",0,2005
"145","Mississippi",0,2005
"146","North Dakota",0,2005
"147","New Mexico",0,2005
"148","Oregon",0,2005
"149","Rhode Island",0,2005
"150","South Dakota",0,2005
"151","Utah",0,2005
"152","West Virginia",0,2005
"153","Wyoming",0,2005
"1","Mississippi",100,2006
"2","Kansas",47,2006
"3","Louisiana",46,2006
"4","Arkansas",29,2006
"5","Connecticut",28,2006
"6","Nevada",26,2006
"7","Oregon",25,2006
"8","Nebraska",22,2006
"9","District of Columbia",22,2006
"10","Florida",20,2006
"11","Maryland",19,2006
"12","New Jersey",19,2006
"13","Oklahoma",17,2006
"14","California",17,2006
"15","Georgia",16,2006
"16","New York",16,2006
"17","Alabama",15,2006
"18","South Carolina",15,2006
"19","North Carolina",15,2006
"20","Wisconsin",14,2006
"21","Tennessee",14,2006
"22","Colorado",13,2006
"23","Illinois",12,2006
"24","Virginia",12,2006
"25","Arizona",10,2006
"26","Pennsylvania",10,2006
"27","Indiana",10,2006
"28","Texas",9,2006
"29","Michigan",9,2006
"30","Ohio",9,2006
"31","Washington",9,2006
"32","Massachusetts",7,2006
"33","Minnesota",6,2006
"34","Missouri",6,2006
"35","Wyoming",0,2006
"36","Delaware",0,2006
"37","Montana",0,2006
"38","Alaska",0,2006
"39","Idaho",0,2006
"40","Maine",0,2006
"41","Rhode Island",0,2006
"42","Hawaii",0,2006
"43","Iowa",0,2006
"44","Kentucky",0,2006
"45","North Dakota",0,2006
"46","New Hampshire",0,2006
"47","New Mexico",0,2006
"48","South Dakota",0,2006
"49","Utah",0,2006
"50","Vermont",0,2006
"51","West Virginia",0,2006
"154","Hawaii",100,2007
"155","District of Columbia",50,2007
"156","New Mexico",40,2007
"157","Utah",39,2007
"158","Alabama",39,2007
"159","New Jersey",38,2007
"160","California",38,2007
"161","Florida",37,2007
"162","Oklahoma",35,2007
"163","Connecticut",35,2007
"164","Maryland",35,2007
"165","Washington",35,2007
"166","Missouri",34,2007
"167","Texas",34,2007
"168","Virginia",33,2007
"169","Nebraska",31,2007
"170","New York",30,2007
"171","Georgia",29,2007
"172","Louisiana",28,2007
"173","Massachusetts",26,2007
"174","Tennessee",25,2007
"175","Colorado",24,2007
"176","Nevada",24,2007
"177","Arizona",24,2007
"178","Pennsylvania",23,2007
