Category: All categories

Month,skin lightening: (District of Columbia)
2004-01,0
2004-02,64
2004-03,81
2004-04,63
2004-05,0
2004-06,0
2004-07,56
2004-08,0
2004-09,0
2004-10,0
2004-11,58
2004-12,0
2005-01,46
2005-02,48
2005-03,0
2005-04,0
2005-05,0
2005-06,41
2005-07,40
2005-08,0
2005-09,0
2005-10,34
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,29
2006-05,27
2006-06,0
2006-07,27
2006-08,24
2006-09,25
2006-10,0
2006-11,23
2006-12,22
2007-01,19
2007-02,20
2007-03,18
2007-04,18
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,13
2007-11,13
2007-12,13
2008-01,11
2008-02,0
2008-03,11
2008-04,28
2008-05,23
2008-06,12
2008-07,11
2008-08,22
2008-09,21
2008-10,0
2008-11,11
2008-12,21
2009-01,11
2009-02,23
2009-03,10
2009-04,10
2009-05,11
2009-06,16
2009-07,10
2009-08,15
2009-09,10
2009-10,9
2009-11,16
2009-12,9
2010-01,13
2010-02,18
2010-03,14
2010-04,26
2010-05,18
2010-06,23
2010-07,17
2010-08,17
2010-09,12
2010-10,16
2010-11,16
2010-12,12
2011-01,19
2011-02,20
2011-03,9
2011-04,11
2011-05,14
2011-06,11
2011-07,10
2011-08,15
2011-09,22
2011-10,6
2011-11,25
2011-12,12
2012-01,15
2012-02,13
2012-03,16
2012-04,18
2012-05,14
2012-06,19
2012-07,16
2012-08,9
2012-09,17
2012-10,10
2012-11,16
2012-12,14
2013-01,15
2013-02,16
2013-03,22
2013-04,18
2013-05,26
2013-06,12
2013-07,22
2013-08,20
2013-09,28
2013-10,18
2013-11,36
2013-12,11
2014-01,11
2014-02,17
2014-03,21
2014-04,28
2014-05,18
2014-06,26
2014-07,18
2014-08,15
2014-09,10
2014-10,15
2014-11,12
2014-12,7
2015-01,15
2015-02,11
2015-03,15
2015-04,14
2015-05,17
2015-06,23
2015-07,13
2015-08,20
2015-09,16
2015-10,7
2015-11,13
2015-12,18
2016-01,12
2016-02,24
2016-03,13
2016-04,10
2016-05,12
2016-06,11
2016-07,19
2016-08,28
2016-09,15
2016-10,14
2016-11,16
2016-12,16
2017-01,14
2017-02,13
2017-03,8
2017-04,12
2017-05,32
2017-06,19
2017-07,18
2017-08,13
2017-09,10
2017-10,10
2017-11,28
2017-12,14
2018-01,13
2018-02,21
2018-03,22
2018-04,15
2018-05,34
2018-06,29
2018-07,18
2018-08,12
2018-09,12
2018-10,14
2018-11,19
2018-12,25
2019-01,0
2019-02,19
2019-03,22
2019-04,22
2019-05,11
2019-06,24
2019-07,18
2019-08,100
