Category: All categories

Month,skin lightening: (District of Columbia)
2004-01,0
2004-02,59
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,52
2004-08,0
2004-09,0
2004-10,100
2004-11,0
2004-12,0
2005-01,43
2005-02,0
2005-03,0
2005-04,0
2005-05,39
2005-06,37
2005-07,75
2005-08,0
2005-09,0
2005-10,0
2005-11,32
2005-12,0
2006-01,0
2006-02,29
2006-03,25
2006-04,27
2006-05,0
2006-06,0
2006-07,0
2006-08,23
2006-09,23
2006-10,21
2006-11,0
2006-12,0
2007-01,0
2007-02,18
2007-03,17
2007-04,17
2007-05,15
2007-06,16
2007-07,0
2007-08,0
2007-09,27
2007-10,12
2007-11,18
2007-12,0
2008-01,11
2008-02,11
2008-03,0
2008-04,16
2008-05,11
2008-06,16
2008-07,10
2008-08,13
2008-09,19
2008-10,9
2008-11,10
2008-12,30
2009-01,10
2009-02,21
2009-03,9
2009-04,0
2009-05,15
2009-06,10
2009-07,14
2009-08,9
2009-09,13
2009-10,13
2009-11,22
2009-12,17
2010-01,8
2010-02,17
2010-03,8
2010-04,32
2010-05,14
2010-06,8
2010-07,16
2010-08,10
2010-09,15
2010-10,11
2010-11,14
2010-12,10
2011-01,13
2011-02,9
2011-03,16
2011-04,8
2011-05,6
2011-06,14
2011-07,8
2011-08,10
2011-09,14
2011-10,6
2011-11,14
2011-12,11
2012-01,7
2012-02,19
2012-03,11
2012-04,13
2012-05,21
2012-06,17
2012-07,19
2012-08,16
2012-09,10
2012-10,15
2012-11,6
2012-12,9
2013-01,9
2013-02,17
2013-03,14
2013-04,22
2013-05,17
2013-06,17
2013-07,10
2013-08,14
2013-09,13
2013-10,11
2013-11,22
2013-12,17
2014-01,8
2014-02,12
2014-03,10
2014-04,14
2014-05,39
2014-06,35
2014-07,24
2014-08,7
2014-09,12
2014-10,18
2014-11,14
2014-12,8
2015-01,9
2015-02,15
2015-03,21
2015-04,25
2015-05,15
2015-06,17
2015-07,14
2015-08,17
2015-09,14
2015-10,8
2015-11,12
2015-12,16
2016-01,7
2016-02,14
2016-03,9
2016-04,12
2016-05,12
2016-06,15
2016-07,24
2016-08,16
2016-09,15
2016-10,10
2016-11,12
2016-12,19
2017-01,13
2017-02,15
2017-03,17
2017-04,6
2017-05,23
2017-06,18
2017-07,15
2017-08,18
2017-09,10
2017-10,9
2017-11,13
2017-12,22
2018-01,0
2018-02,23
2018-03,17
2018-04,24
2018-05,11
2018-06,22
2018-07,27
2018-08,19
2018-09,11
2018-10,15
2018-11,16
2018-12,12
2019-01,10
2019-02,21
2019-03,13
2019-04,15
2019-05,16
2019-06,28
2019-07,17
2019-08,61
