Category: All categories

Month,skin lightening: (Maryland)
2004-01,0
2004-02,0
2004-03,100
2004-04,0
2004-05,70
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,44
2005-04,0
2005-05,67
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,37
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,30
2006-06,0
2006-07,62
2006-08,0
2006-09,28
2006-10,0
2006-11,0
2006-12,26
2007-01,0
2007-02,24
2007-03,22
2007-04,34
2007-05,21
2007-06,34
2007-07,0
2007-08,20
2007-09,20
2007-10,18
2007-11,18
2007-12,19
2008-01,17
2008-02,17
2008-03,17
2008-04,0
2008-05,17
2008-06,0
2008-07,18
2008-08,0
2008-09,17
2008-10,15
2008-11,18
2008-12,17
2009-01,32
2009-02,17
2009-03,15
2009-04,21
2009-05,48
2009-06,16
2009-07,33
2009-08,22
2009-09,26
2009-10,15
2009-11,16
2009-12,23
2010-01,34
2010-02,30
2010-03,27
2010-04,14
2010-05,15
2010-06,47
2010-07,31
2010-08,37
2010-09,28
2010-10,14
2010-11,14
2010-12,14
2011-01,28
2011-02,20
2011-03,19
2011-04,28
2011-05,23
2011-06,16
2011-07,17
2011-08,32
2011-09,17
2011-10,18
2011-11,12
2011-12,22
2012-01,22
2012-02,20
2012-03,37
2012-04,23
2012-05,38
2012-06,28
2012-07,28
2012-08,20
2012-09,20
2012-10,12
2012-11,17
2012-12,15
2013-01,13
2013-02,18
2013-03,35
2013-04,27
2013-05,23
2013-06,31
2013-07,43
2013-08,26
2013-09,21
2013-10,28
2013-11,19
2013-12,24
2014-01,26
2014-02,30
2014-03,35
2014-04,23
2014-05,24
2014-06,30
2014-07,37
2014-08,25
2014-09,30
2014-10,25
2014-11,12
2014-12,21
2015-01,20
2015-02,24
2015-03,12
2015-04,29
2015-05,31
2015-06,24
2015-07,9
2015-08,24
2015-09,18
2015-10,30
2015-11,21
2015-12,35
2016-01,31
2016-02,25
2016-03,25
2016-04,32
2016-05,25
2016-06,23
2016-07,26
2016-08,29
2016-09,18
2016-10,22
2016-11,17
2016-12,24
2017-01,22
2017-02,32
2017-03,30
2017-04,27
2017-05,25
2017-06,37
2017-07,37
2017-08,33
2017-09,17
2017-10,15
2017-11,18
2017-12,18
2018-01,22
2018-02,20
2018-03,22
2018-04,25
2018-05,21
2018-06,40
2018-07,37
2018-08,31
2018-09,28
2018-10,16
2018-11,14
2018-12,26
2019-01,23
2019-02,27
2019-03,27
2019-04,25
2019-05,20
2019-06,31
2019-07,25
2019-08,29
