Category: All categories

Month,skin lightening: (New Jersey)
2004-01,80
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,66
2004-09,0
2004-10,0
2004-11,0
2004-12,55
2005-01,0
2005-02,78
2005-03,44
2005-04,100
2005-05,43
2005-06,45
2005-07,45
2005-08,42
2005-09,60
2005-10,73
2005-11,74
2005-12,34
2006-01,47
2006-02,33
2006-03,0
2006-04,32
2006-05,29
2006-06,59
2006-07,90
2006-08,28
2006-09,27
2006-10,0
2006-11,24
2006-12,23
2007-01,20
2007-02,21
2007-03,0
2007-04,29
2007-05,26
2007-06,27
2007-07,17
2007-08,24
2007-09,22
2007-10,29
2007-11,14
2007-12,14
2008-01,26
2008-02,18
2008-03,13
2008-04,26
2008-05,19
2008-06,14
2008-07,17
2008-08,13
2008-09,37
2008-10,23
2008-11,25
2008-12,16
2009-01,11
2009-02,19
2009-03,22
2009-04,31
2009-05,17
2009-06,26
2009-07,38
2009-08,22
2009-09,19
2009-10,26
2009-11,16
2009-12,21
2010-01,26
2010-02,23
2010-03,18
2010-04,14
2010-05,16
2010-06,33
2010-07,34
2010-08,15
2010-09,22
2010-10,28
2010-11,31
2010-12,14
2011-01,30
2011-02,23
2011-03,10
2011-04,32
2011-05,31
2011-06,38
2011-07,26
2011-08,27
2011-09,25
2011-10,24
2011-11,15
2011-12,29
2012-01,19
2012-02,28
2012-03,39
2012-04,22
2012-05,36
2012-06,33
2012-07,37
2012-08,36
2012-09,32
2012-10,22
2012-11,33
2012-12,22
2013-01,36
2013-02,25
2013-03,37
2013-04,42
2013-05,39
2013-06,28
2013-07,45
2013-08,36
2013-09,40
2013-10,25
2013-11,29
2013-12,33
2014-01,35
2014-02,34
2014-03,30
2014-04,35
2014-05,68
2014-06,31
2014-07,35
2014-08,37
2014-09,15
2014-10,26
2014-11,13
2014-12,33
2015-01,41
2015-02,31
2015-03,27
2015-04,28
2015-05,50
2015-06,23
2015-07,31
2015-08,31
2015-09,19
2015-10,21
2015-11,17
2015-12,34
2016-01,38
2016-02,37
2016-03,33
2016-04,31
2016-05,26
2016-06,39
2016-07,39
2016-08,33
2016-09,37
2016-10,23
2016-11,22
2016-12,20
2017-01,30
2017-02,27
2017-03,44
2017-04,30
2017-05,36
2017-06,35
2017-07,37
2017-08,26
2017-09,27
2017-10,21
2017-11,19
2017-12,14
2018-01,31
2018-02,20
2018-03,36
2018-04,36
2018-05,38
2018-06,31
2018-07,33
2018-08,39
2018-09,26
2018-10,26
2018-11,30
2018-12,24
2019-01,20
2019-02,36
2019-03,33
2019-04,26
2019-05,34
2019-06,16
2019-07,27
2019-08,25
