Category: All categories

Month,skin lightening: (New York)
2004-01,52
2004-02,52
2004-03,64
2004-04,0
2004-05,45
2004-06,45
2004-07,48
2004-08,44
2004-09,41
2004-10,0
2004-11,43
2004-12,37
2005-01,0
2005-02,0
2005-03,44
2005-04,34
2005-05,30
2005-06,30
2005-07,31
2005-08,88
2005-09,0
2005-10,25
2005-11,51
2005-12,40
2006-01,32
2006-02,34
2006-03,48
2006-04,42
2006-05,59
2006-06,31
2006-07,35
2006-08,58
2006-09,28
2006-10,42
2006-11,0
2006-12,42
2007-01,62
2007-02,32
2007-03,19
2007-04,43
2007-05,23
2007-06,24
2007-07,23
2007-08,26
2007-09,21
2007-10,100
2007-11,11
2007-12,11
2008-01,14
2008-02,24
2008-03,30
2008-04,27
2008-05,36
2008-06,39
2008-07,38
2008-08,36
2008-09,16
2008-10,26
2008-11,22
2008-12,28
2009-01,27
2009-02,32
2009-03,28
2009-04,39
2009-05,54
2009-06,24
2009-07,49
2009-08,25
2009-09,40
2009-10,27
2009-11,45
2009-12,39
2010-01,45
2010-02,60
2010-03,55
2010-04,50
2010-05,54
2010-06,46
2010-07,67
2010-08,53
2010-09,30
2010-10,48
2010-11,22
2010-12,33
2011-01,31
2011-02,29
2011-03,40
2011-04,53
2011-05,46
2011-06,49
2011-07,56
2011-08,43
2011-09,41
2011-10,35
2011-11,41
2011-12,56
2012-01,50
2012-02,58
2012-03,61
2012-04,60
2012-05,58
2012-06,69
2012-07,76
2012-08,63
2012-09,61
2012-10,44
2012-11,42
2012-12,43
2013-01,43
2013-02,53
2013-03,64
2013-04,82
2013-05,88
2013-06,86
2013-07,82
2013-08,60
2013-09,60
2013-10,57
2013-11,57
2013-12,46
2014-01,65
2014-02,60
2014-03,63
2014-04,63
2014-05,81
2014-06,75
2014-07,82
2014-08,85
2014-09,64
2014-10,41
2014-11,47
2014-12,47
2015-01,60
2015-02,51
2015-03,55
2015-04,52
2015-05,60
2015-06,49
2015-07,58
2015-08,62
2015-09,66
2015-10,44
2015-11,43
2015-12,46
2016-01,69
2016-02,75
2016-03,88
2016-04,87
2016-05,77
2016-06,68
2016-07,79
2016-08,65
2016-09,62
2016-10,59
2016-11,49
2016-12,54
2017-01,72
2017-02,66
2017-03,81
2017-04,82
2017-05,78
2017-06,86
2017-07,94
2017-08,76
2017-09,69
2017-10,75
2017-11,71
2017-12,77
2018-01,74
2018-02,65
2018-03,72
2018-04,79
2018-05,85
2018-06,99
2018-07,83
2018-08,85
2018-09,63
2018-10,67
2018-11,84
2018-12,67
2019-01,71
2019-02,76
2019-03,78
2019-04,75
2019-05,67
2019-06,88
2019-07,90
2019-08,76
