"","region.date","region.hits","region.geo","region.time","region.keyword","region.gprop","region.category"
"1",2008-01-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"2",2008-02-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"3",2008-03-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"4",2008-04-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"5",2008-05-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"6",2008-06-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"7",2008-07-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"8",2008-08-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"9",2008-09-01,30,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"10",2008-10-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"11",2008-11-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"12",2008-12-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"13",2009-01-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"14",2009-02-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"15",2009-03-01,27,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"16",2009-04-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"17",2009-05-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"18",2009-06-01,59,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"19",2009-07-01,29,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"20",2009-08-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"21",2009-09-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"22",2009-10-01,25,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"23",2009-11-01,79,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"24",2009-12-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"25",2010-01-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"26",2010-02-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"27",2010-03-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"28",2010-04-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"29",2010-05-01,26,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"30",2010-06-01,27,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"31",2010-07-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"32",2010-08-01,24,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"33",2010-09-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"34",2010-10-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"35",2010-11-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"36",2010-12-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"37",2011-01-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"38",2011-02-01,26,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"39",2011-03-01,12,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"40",2011-04-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"41",2011-05-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"42",2011-06-01,13,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"43",2011-07-01,13,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"44",2011-08-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"45",2011-09-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"46",2011-10-01,23,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"47",2011-11-01,11,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"48",2011-12-01,11,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"49",2012-01-01,10,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"50",2012-02-01,10,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"51",2012-03-01,10,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"52",2012-04-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"53",2012-05-01,11,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"54",2012-06-01,0,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
"55",2012-07-01,10,"US-AL","2008-01-01 2018-12-31","skin bleaching","web",0
